learning_rate, gamma, net_dimension   , batch_size, total_return          , sharpe_ratio       , max_drawdown         , final_value       , exp_name
3e-06        , 0.97 , "[256, 128]"    ,       2048, 0.0011590791900333297 , 0.5263281796308953 , -0.028456114845261893, 1001159.0791900334, exp_lr3e-06_g0.97_bs2048
1e-05        , 0.95 , "[256, 128]"    ,       4096, 0.0010902319860062182 , 0.45295572476625967, -0.027152219542698974, 1001090.2319860061, exp_lr1e-05_g0.95_bs4096
3e-06        , 0.985, "[256, 128]"    ,       4096, 0.0007311415851627423 , 0.2740274014948857 , -0.045505441442825534, 1000731.1415851627, exp_lr3e-06_g0.985_bs4096
1e-05        , 0.985, "[256, 128]"    ,       4096, -3.56032311589205e-05 , 0.06312357590260341, -0.028323532734342183,  999964.3967688411, exp_lr1e-05_g0.985_bs4096
1e-06        , 0.95 , "[128, 64]"     ,       4096, -0.0006669067158834308, -0.2910237486587869, -0.015151000695375672,  999333.0932841166, exp_lr1e-06_g0.95_bs4096
1e-06        , 0.97 , "[128, 128, 64]",       4096, -0.00236604684224484  , -1.0421865493638613, -0.02074598850642939 ,  997633.9531577552, exp_lr1e-06_g0.97_bs4096
1e-06        , 0.985, "[128, 64]"     ,       4096, -0.0030425162532380368, -1.08398718504826  , -0.02865649205355969 ,  996957.4837467619, exp_lr1e-06_g0.985_bs4096
3e-06        , 0.985, "[128, 64]"     ,       4096, -0.006835052242410433 , -1.601127089347477 , -0.03911090848798526 ,  993164.9477575895, exp_lr3e-06_g0.985_bs4096
1e-05        , 0.97 , "[256, 128]"    ,       1024, -0.003779465018705075 , -1.7241899639981735, -0.01386156970668262 ,  996220.5349812949, exp_lr1e-05_g0.97_bs1024
3e-06        , 0.985, "[128, 64]"     ,       2048, -0.0044841890251065   , -1.7633080897106554, -0.02178329966946846 ,  995515.8109748935, exp_lr3e-06_g0.985_bs2048
3e-06        , 0.985, "[256, 128]"    ,       1024, -0.004075138530643563 , -1.816178840691604 , -0.015050813972080745,  995924.8614693565, exp_lr3e-06_g0.985_bs1024
1e-05        , 0.97 , "[256, 128]"    ,       2048, -0.005803576198760818 , -1.984655379695121 , -0.02492140508878049 ,  994196.4238012392, exp_lr1e-05_g0.97_bs2048
1e-06        , 0.985, "[128, 128, 64]",       4096, -0.004441643003322504 , -2.157654481205883 , -0.018387544757521024,  995558.3569966775, exp_lr1e-06_g0.985_bs4096
1e-05        , 0.97 , "[256, 128]"    ,       4096, -0.015229309669357094 , -4.757156817205319 , -0.02409171421364409 ,  984770.6903306429, exp_lr1e-05_g0.97_bs4096
